Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz - Invoicing System/a_Home_top-bar__navigation-toggler""))",Chrome 95.0.4638.69,,,2021-11-11 08:44:57,2021-11-11 08:44:58,0.636s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz - Invoicing System/a_Sign in""))",Chrome 95.0.4638.69,,,2021-11-11 08:44:58,2021-11-11 08:44:59,0.812s,PASSED
"setText(findTestObject(""Object Repository/Zeroz/Page_zeroz - Login/input_Sign in_user_name""), ""van@glovory.com"")",Chrome 95.0.4638.69,,,2021-11-11 08:44:59,2021-11-11 08:45:00,0.870s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Zeroz/Page_zeroz - Login/input_Sign in_password""), ""RAIVpflpDOg="")",Chrome 95.0.4638.69,,,2021-11-11 08:45:00,2021-11-11 08:45:00,0.372s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz - Login/button_Sign in""))",Chrome 95.0.4638.69,,,2021-11-11 08:45:00,2021-11-11 08:45:01,0.355s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz  Dashboard/a_Features""))",Chrome 95.0.4638.69,,,2021-11-11 08:45:01,2021-11-11 08:45:03,2.826s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz  Feature/a_The detail of zeroz feature_on-default edit-row""))",Chrome 95.0.4638.69,,,2021-11-11 08:45:03,2021-11-11 08:45:35,31.260s,FAILED
,,,,,,,
Test Cases/Feature_delete,Chrome 95.0.4638.69,,,2021-11-11 08:45:35,2021-11-11 08:46:15,40.803s,FAILED
"openBrowser("""")",Chrome 95.0.4638.69,,,2021-11-11 08:45:35,2021-11-11 08:45:37,1.847s,PASSED
"navigateToUrl(""https://zeroz.glovory.site/"")",Chrome 95.0.4638.69,,,2021-11-11 08:45:37,2021-11-11 08:45:38,1.432s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz - Invoicing System/a_Home_top-bar__navigation-toggler""))",Chrome 95.0.4638.69,,,2021-11-11 08:45:38,2021-11-11 08:45:39,0.478s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz - Invoicing System/a_Sign in""))",Chrome 95.0.4638.69,,,2021-11-11 08:45:39,2021-11-11 08:45:39,0.759s,PASSED
"setText(findTestObject(""Object Repository/Zeroz/Page_zeroz - Login/input_Sign in_user_name""), ""van@glovory.com"")",Chrome 95.0.4638.69,,,2021-11-11 08:45:39,2021-11-11 08:45:40,0.872s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Zeroz/Page_zeroz - Login/input_Sign in_password""), ""RAIVpflpDOg="")",Chrome 95.0.4638.69,,,2021-11-11 08:45:40,2021-11-11 08:45:41,0.366s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz - Login/button_Sign in""))",Chrome 95.0.4638.69,,,2021-11-11 08:45:41,2021-11-11 08:45:41,0.360s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz  Dashboard/a_Features""))",Chrome 95.0.4638.69,,,2021-11-11 08:45:41,2021-11-11 08:45:44,2.748s,PASSED
"click(findTestObject(""Object Repository/Zeroz/Page_zeroz  Feature/a_The detail of zeroz feature_on-default re_391f37""))",Chrome 95.0.4638.69,,,2021-11-11 08:45:44,2021-11-11 08:46:15,31.722s,FAILED
